timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735227717830,325,GET /branding/,200,,Guest makes a booking 2-1,text,true,,785,252,1,2,http://localhost:8080/branding/,324,0,25
1735227717830,323,POST /auth/login,200,,Admin makes a booking 1-1,,true,,177,332,1,2,http://localhost:8080/auth/login,323,0,25
1735227719827,71,GET /room/,200,,Guest makes a booking 2-1,text,true,,528,248,1,2,http://localhost:8080/room/,70,0,0
1735227720764,7,GET /branding/,200,,Guest makes a booking 2-2,text,true,,785,252,2,4,http://localhost:8080/branding/,7,0,0
1735227720760,22,POST /auth/login,200,,Admin makes a booking 1-2,,true,,177,332,2,4,http://localhost:8080/auth/login,22,0,1
1735227721088,20,POST /auth/validate,200,,Admin makes a booking 1-1,,true,,133,344,2,4,http://localhost:8080/auth/validate,20,0,0
1735227721108,50,GET /message/count,200,,Admin makes a booking 1-1,text,true,,223,288,2,4,http://localhost:8080/message/count,50,0,0
1735227721290,146,GET /report/room/1,200,,Guest makes a booking 2-1,text,true,,289,256,2,4,http://localhost:8080/report/room/1,146,0,0
1735227721437,292,POST /booking/,201,,Guest makes a booking 2-1,text,true,,384,534,2,4,http://localhost:8080/booking/,292,0,0
1735227723027,8,GET /room/,200,,Admin makes a booking 1-1,text,true,,528,280,2,3,http://localhost:8080/room/,8,0,0
1735227723037,49,GET /report/,200,,Admin makes a booking 1-1,text,true,,373,282,2,3,http://localhost:8080/report/,49,0,0
1735227723587,6,GET /room/,200,,Guest makes a booking 2-2,text,true,,528,248,1,3,http://localhost:8080/room/,6,0,0
1735227723763,7,GET /branding/,200,,Guest makes a booking 2-3,text,true,,785,252,2,5,http://localhost:8080/branding/,7,0,1
1735227723760,23,POST /auth/login,200,,Admin makes a booking 1-3,,true,,177,332,3,5,http://localhost:8080/auth/login,23,0,1
1735227724030,15,POST /auth/validate,200,,Admin makes a booking 1-2,,true,,133,344,3,5,http://localhost:8080/auth/validate,15,0,0
1735227724046,6,GET /message/count,200,,Admin makes a booking 1-2,text,true,,223,288,3,5,http://localhost:8080/message/count,6,0,0
1735227725316,12,GET /report/room/1,200,,Guest makes a booking 2-2,text,true,,353,256,2,5,http://localhost:8080/report/room/1,12,0,0
1735227725328,34,POST /booking/,201,,Guest makes a booking 2-2,text,true,,387,539,2,5,http://localhost:8080/booking/,34,0,0
1735227725489,7,GET /room/,200,,Admin makes a booking 1-2,text,true,,528,280,3,4,http://localhost:8080/room/,7,0,0
1735227725497,36,GET /report/,200,,Admin makes a booking 1-2,text,true,,448,282,3,4,http://localhost:8080/report/,36,0,0
1735227726151,6,GET /room/,200,,Guest makes a booking 2-3,text,true,,528,248,1,4,http://localhost:8080/room/,6,0,0
1735227726762,7,GET /branding/,200,,Guest makes a booking 2-4,text,true,,785,252,2,6,http://localhost:8080/branding/,7,0,1
1735227726759,12,POST /auth/login,200,,Admin makes a booking 1-4,,true,,177,332,4,6,http://localhost:8080/auth/login,12,0,0
1735227727464,11,GET /report/room/1,200,,Guest makes a booking 2-3,text,true,,417,256,2,6,http://localhost:8080/report/room/1,11,0,0
1735227727475,25,POST /booking/,201,,Guest makes a booking 2-3,text,true,,389,544,2,6,http://localhost:8080/booking/,25,0,0
1735227728084,16,POST /auth/validate,200,,Admin makes a booking 1-3,,true,,133,344,4,5,http://localhost:8080/auth/validate,16,0,0
1735227728101,5,GET /message/count,200,,Admin makes a booking 1-3,text,true,,223,288,4,5,http://localhost:8080/message/count,5,0,0
1735227728694,7,GET /room/,200,,Admin makes a booking 1-1,text,true,,528,280,4,5,http://localhost:8080/room/,7,0,0
1735227729376,5,GET /room/,200,,Guest makes a booking 2-4,text,true,,528,248,1,5,http://localhost:8080/room/,5,0,0
1735227729763,6,GET /branding/,200,,Guest makes a booking 2-5,text,true,,785,252,2,7,http://localhost:8080/branding/,6,0,0
1735227729759,16,POST /auth/login,200,,Admin makes a booking 1-5,,true,,177,332,5,7,http://localhost:8080/auth/login,16,0,1
1735227730091,5,GET /room/,200,,Admin makes a booking 1-3,text,true,,528,280,5,7,http://localhost:8080/room/,5,0,0
1735227730097,36,GET /report/,200,,Admin makes a booking 1-3,text,true,,527,282,5,7,http://localhost:8080/report/,36,0,0
1735227730837,11,GET /report/room/1,200,,Guest makes a booking 2-4,text,true,,482,256,2,7,http://localhost:8080/report/room/1,11,0,0
1735227730849,40,POST /booking/,201,,Guest makes a booking 2-4,text,true,,388,541,2,7,http://localhost:8080/booking/,40,0,0
