timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736080957721,296,Delete By film_ID,200,OK,Delete Film_Text 4-6,text,true,,11,0,10,35,null,296,0,278
1736080957648,374,Update Rental Date,200,OK,Update Rental 3-2,text,true,,11,0,9,35,null,374,0,351
1736080957276,746,Delete By film_ID,200,OK,Delete Film_Text 4-1,text,true,,11,0,10,35,null,746,0,723
1736080957635,387,Delete By film_ID,200,OK,Delete Film_Text 4-5,text,true,,11,0,10,35,null,387,0,364
1736080957885,137,Insert Into City,200,OK,Insert City 2-4,text,true,,11,0,7,35,null,137,0,114
1736080957768,255,Delete By film_ID,200,OK,Delete Film_Text 4-7,text,true,,11,0,10,35,null,254,0,231
1736080957981,42,Delete By film_ID,200,OK,Delete Film_Text 4-8,text,true,,11,0,10,35,null,42,0,18
1736080957838,185,Update Rental Date,200,OK,Update Rental 3-5,text,true,,11,0,9,35,null,185,0,161
1736080957507,516,Insert Into City,200,OK,Insert City 2-3,text,true,,11,0,7,35,null,515,0,510
1736080957458,569,Delete By film_ID,200,OK,Delete Film_Text 4-2,text,true,,11,0,10,35,null,569,0,565
1736080957413,614,Insert Into City,200,OK,Insert City 2-1,text,true,,11,0,7,35,null,614,0,610
1736080958006,24,Insert Into City,200,OK,Insert City 2-2,text,true,,11,0,7,35,null,24,0,18
1736080957785,245,Select By Actor_ID,200,OK,Select Actor 1-1,text,true,,84,0,9,35,null,243,0,214
1736080957622,408,Update Rental Date,200,OK,Update Rental 3-1,text,true,,11,0,9,35,null,408,0,401
1736080957615,415,Delete By film_ID,200,OK,Delete Film_Text 4-3,text,true,,11,0,10,35,null,415,0,408
1736080957852,178,Select By Actor_ID,200,OK,Select Actor 1-2,text,true,,81,0,9,35,null,176,0,147
1736080958027,5,Update Rental Date,200,OK,Update Rental 3-4,text,true,,11,0,9,35,null,5,0,1
1736080958061,24,Insert Into City,200,OK,Insert City 2-5,text,true,,11,0,7,35,null,23,0,0
1736080958074,11,Select By Actor_ID,200,OK,Select Actor 1-3,text,true,,81,0,9,35,null,11,0,1
1736080958130,5,Delete By film_ID,200,OK,Delete Film_Text 4-4,text,true,,11,0,10,35,null,5,0,0
1736080958136,2,Select By Actor_ID,200,OK,Select Actor 1-5,text,true,,79,0,9,35,null,2,0,0
1736080958166,5,Delete By film_ID,200,OK,Delete Film_Text 4-10,text,true,,11,0,10,36,null,4,0,0
1736080958171,3,Select By Actor_ID,200,OK,Select Actor 1-4,text,true,,83,0,9,36,null,2,0,0
1736080958180,5,Delete By film_ID,200,OK,Delete Film_Text 4-9,text,true,,11,0,10,37,null,5,0,0
1736080958231,3,Update Rental Date,200,OK,Update Rental 3-3,text,true,,11,0,10,38,null,2,0,0
1736080958242,3,Update Rental Date,200,OK,Update Rental 3-6,text,true,,11,0,10,38,null,2,0,0
1736080958409,2,Select By Actor_ID,200,OK,Select Actor 1-6,text,true,,81,0,11,41,null,1,0,0
1736080958545,3,Insert Into City,200,OK,Insert City 2-6,text,true,,11,0,9,41,null,3,0,0
1736080958611,2,Update Rental Date,200,OK,Update Rental 3-7,text,true,,11,0,12,43,null,2,0,0
1736080958754,5,Delete By film_ID,200,OK,Delete Film_Text 4-2,text,true,,11,0,10,44,null,4,0,1
1736080958757,4,Delete By film_ID,200,OK,Delete Film_Text 4-1,text,true,,11,0,10,44,null,4,0,0
1736080958759,4,Delete By film_ID,200,OK,Delete Film_Text 4-3,text,true,,11,0,10,44,null,3,0,0
1736080958763,3,Update Rental Date,200,OK,Update Rental 3-1,text,true,,11,0,12,44,null,3,0,0
1736080958822,4,Insert Into City,200,OK,Insert City 2-1,text,true,,11,0,10,46,null,4,0,0
1736080958830,2,Select By Actor_ID,200,OK,Select Actor 1-7,text,true,,80,0,13,46,null,1,0,0
1736080958851,2,Select By Actor_ID,200,OK,Select Actor 1-5,text,true,,83,0,13,46,null,2,0,0
1736080958865,2,Select By Actor_ID,200,OK,Select Actor 1-1,text,true,,81,0,13,46,null,1,0,0
1736080958864,4,Delete By film_ID,200,OK,Delete Film_Text 4-5,text,true,,11,0,10,46,null,4,0,0
1736080958914,1,Select By Actor_ID,200,OK,Select Actor 1-9,text,true,,80,0,13,47,null,1,0,0
1736080958934,5,Update Rental Date,200,OK,Update Rental 3-10,text,true,,11,0,13,47,null,5,0,0
1736080958952,1,Select By Actor_ID,200,OK,Select Actor 1-8,text,true,,80,0,13,47,null,1,0,0
