timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736359481322,978,POST /user,200,OK,User browses and cancels an order 1-1,text,true,,382,387,1,1,https://petstore.swagger.io/v2/user,977,0,806
1736359484232,694,POST /user,200,OK,User browses and cancels an order 1-2,text,true,,382,388,2,2,https://petstore.swagger.io/v2/user,694,0,501
1736359485302,176,GET /user/login,200,OK,User browses and cancels an order 1-1,text,true,,482,205,2,2,https://petstore.swagger.io/v2/user/login?username=aleyes0&password=zU7%3EtXt%23,176,0,0
1736359487232,656,POST /user,200,OK,User browses and cancels an order 1-3,text,true,,382,399,3,3,https://petstore.swagger.io/v2/user,655,0,496
1736359487930,157,GET /user/login,200,OK,User browses and cancels an order 1-2,text,true,,482,210,3,3,https://petstore.swagger.io/v2/user/login?username=tvasyanin1&password=gX5_J%29%3E0jX,157,0,0
1736359490232,628,POST /user,200,OK,User browses and cancels an order 1-4,text,true,,382,403,4,4,https://petstore.swagger.io/v2/user,627,0,467
1736359490888,199,GET /user/login,200,OK,User browses and cancels an order 1-3,text,true,,482,211,4,4,https://petstore.swagger.io/v2/user/login?username=ghammerberg2&password=qP3%7D8X85bpB,199,0,0
1736359493230,677,POST /user,200,OK,User browses and cancels an order 1-5,text,true,,382,387,5,5,https://petstore.swagger.io/v2/user,677,0,493
1736359493862,158,GET /user/login,200,OK,User browses and cancels an order 1-4,text,true,,482,218,5,5,https://petstore.swagger.io/v2/user/login?username=llissandrini3&password=bR3.Gd%287XLPR%7CMy,156,0,0
1736359496231,686,POST /user,500,Server Error,User browses and cancels an order 1-6,text,false,,411,394,6,6,https://petstore.swagger.io/v2/user,686,0,497
1736359496908,192,GET /user/login,200,OK,User browses and cancels an order 1-5,text,true,,482,207,6,6,https://petstore.swagger.io/v2/user/login?username=lnanni4&password=vM4%27lceR1NEz,192,0,0
1736359495374,2849,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-3,text,true,,6659116,184,6,6,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,307,0,0
1736359495568,2959,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-4,text,true,,6659118,184,6,6,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,319,0,0
1736359499229,660,POST /user,200,OK,User browses and cancels an order 1-7,text,true,,382,386,7,7,https://petstore.swagger.io/v2/user,659,0,495
1736359499926,154,GET /user/login,200,OK,User browses and cancels an order 1-6,text,true,,482,218,7,7,https://petstore.swagger.io/v2/user/login?username=dtomisch5&password=rG0%3E2%26%40%5C%3FDuZ5,154,0,0
1736359500282,1345,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-3,text,true,,6659455,184,7,7,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,158,0,0
1736359502227,648,POST /user,500,Server Error,User browses and cancels an order 1-8,text,false,,411,382,8,8,https://petstore.swagger.io/v2/user,648,0,479
1736359502889,150,GET /user/login,200,OK,User browses and cancels an order 1-7,text,true,,482,212,8,8,https://petstore.swagger.io/v2/user/login?username=ejarrold6&password=zC5%40%2892naM0c9,150,0,0
1736359500013,4519,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-5,text,true,,6659116,184,8,8,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,166,0,0
1736359503053,1539,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-4,text,true,,6660186,184,8,8,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,176,0,0
1736359505622,243,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-3,text,true,,71366,186,9,9,https://petstore.swagger.io/v2/pet/findByStatus?status=string,240,0,0
1736359505225,722,POST /user,200,OK,User browses and cancels an order 1-9,text,true,,382,417,9,9,https://petstore.swagger.io/v2/user,722,0,521
1736359505876,159,GET /user/login,200,OK,User browses and cancels an order 1-8,text,true,,482,206,9,9,https://petstore.swagger.io/v2/user/login?username=nheath7&password=lV8%28sS%5Cxz,159,0,0
1736359503331,4683,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-6,text,true,,6659708,184,9,9,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,425,0,0
1736359508679,222,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-4,text,true,,71366,186,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=string,212,0,0
1736359508226,749,POST /user,200,OK,User browses and cancels an order 1-10,text,true,,382,384,10,10,https://petstore.swagger.io/v2/user,749,0,576
1736359508948,205,GET /user/login,200,OK,User browses and cancels an order 1-9,text,true,,482,220,10,10,https://petstore.swagger.io/v2/user/login?username=lffrenchbeytagh8&password=sF0%21i7hU%24J94q_,205,0,0
1736359507088,2633,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-5,text,true,,6660338,184,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,744,0,0
1736359510279,177,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-3,text,true,,71211,186,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=string,175,0,0
1736359510924,811,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-4,text,true,,71211,186,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=string,803,0,0
1736359511976,208,GET /user/login,200,OK,User browses and cancels an order 1-10,text,true,,482,198,10,10,https://petstore.swagger.io/v2/user/login?username=spurnell9&password=yM7,208,0,0
1736359512256,396,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-5,text,true,,71057,186,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=string,370,0,0
1736359510553,2687,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-6,text,true,,6660536,184,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,173,0,0
1736359513544,1907,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-3,text,true,,2265557,189,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=available,168,0,0
1736359514020,1706,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-4,text,true,,2265203,189,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=available,952,0,0
1736359515524,217,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-6,text,true,,71058,186,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=string,203,0,0
1736359515831,211,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-5,text,true,,71066,186,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=string,210,0,0
1736359517793,176,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-6,text,true,,71058,186,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=string,173,0,0
1736359511115,7578,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-9,text,true,,6660501,184,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,649,0,0
1736359517809,1062,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-4,text,true,,2265450,189,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=available,173,0,0
1736359514408,5012,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-10,text,true,,6660493,184,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,1266,0,0
1736359519372,577,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-5,text,true,,2265422,189,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=available,167,0,0
1736359519883,161,DELETE /pet/petId,200,OK,User browses and cancels an order 1-4,text,true,,398,201,10,10,https://petstore.swagger.io/v2/pet/9223372016900017850,161,0,0
1736359520044,168,GET /user/logout,200,OK,User browses and cancels an order 1-4,text,true,,381,167,10,10,https://petstore.swagger.io/v2/user/logout,168,0,0
1736359519906,415,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-3,text,true,,2265421,189,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=available,157,0,0
1736359520212,155,POST /user,200,OK,User browses and cancels an order 1-4,text,true,,382,393,10,10,https://petstore.swagger.io/v2/user,155,0,0
1736359521336,154,DELETE /pet/petId,200,OK,User browses and cancels an order 1-3,text,true,,383,186,10,10,https://petstore.swagger.io/v2/pet/4445,154,0,0
1736359521490,158,GET /user/logout,200,OK,User browses and cancels an order 1-3,text,true,,381,167,10,10,https://petstore.swagger.io/v2/user/logout,158,0,0
1736359521649,434,POST /user,200,OK,User browses and cancels an order 1-3,text,true,,382,394,10,10,https://petstore.swagger.io/v2/user,434,0,0
1736359521621,817,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-6,text,true,,2265253,189,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=available,165,0,0
1736359522280,592,GET /pet/findByStatus,200,OK,User browses and cancels an order 1-5,text,true,,2265091,189,10,10,https://petstore.swagger.io/v2/pet/findByStatus?status=available,175,0,0
1736359523368,255,GET /user/login,200,OK,User browses and cancels an order 1-4,text,true,,482,209,10,10,https://petstore.swagger.io/v2/user/login?username=icathralla&password=rK1*eQmJ%262R,255,0,0
1736359523889,341,DELETE /pet/petId,200,OK,User browses and cancels an order 1-5,text,true,,382,185,10,10,https://petstore.swagger.io/v2/pet/375,341,0,0
1736359524230,215,GET /user/logout,200,OK,User browses and cancels an order 1-5,text,true,,381,167,10,10,https://petstore.swagger.io/v2/user/logout,215,0,0
