timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734216516777,970,POST /user,200,OK,User creates an order 1-1,text,true,,382,387,1,1,https://petstore.swagger.io/v2/user,969,0,817
1734216519683,707,POST /user,200,OK,User creates an order 1-2,text,true,,382,388,2,2,https://petstore.swagger.io/v2/user,707,0,512
1734216520755,155,GET /user/login,200,OK,User creates an order 1-1,text,true,,482,205,2,2,https://petstore.swagger.io/v2/user/login?username=aleyes0&password=zU7%3EtXt%23,155,0,0
1734216522685,649,POST /user,200,OK,User creates an order 1-3,text,true,,382,399,3,3,https://petstore.swagger.io/v2/user,649,0,491
1734216523400,148,GET /user/login,200,OK,User creates an order 1-2,text,true,,482,210,3,3,https://petstore.swagger.io/v2/user/login?username=tvasyanin1&password=gX5_J%29%3E0jX,148,0,0
1734216525923,162,POST /store/order,200,OK,User creates an order 1-1,text,true,,453,313,4,4,https://petstore.swagger.io/v2/store/order,162,0,0
1734216526086,145,GET /user/logout,200,OK,User creates an order 1-1,text,true,,381,167,4,4,https://petstore.swagger.io/v2/user/logout,145,0,0
1734216525683,604,POST /user,200,OK,User creates an order 1-4,text,true,,382,403,4,4,https://petstore.swagger.io/v2/user,604,0,463
1734216526232,140,POST /user,200,OK,User creates an order 1-1,text,true,,382,387,4,4,https://petstore.swagger.io/v2/user,140,0,0
1734216526344,147,GET /user/login,200,OK,User creates an order 1-3,text,true,,482,211,4,4,https://petstore.swagger.io/v2/user/login?username=ghammerberg2&password=qP3%7D8X85bpB,147,0,0
1734216528553,174,POST /store/order,200,OK,User creates an order 1-2,text,true,,453,313,5,5,https://petstore.swagger.io/v2/store/order,174,0,0
1734216528727,141,GET /user/logout,200,OK,User creates an order 1-2,text,true,,381,167,5,5,https://petstore.swagger.io/v2/user/logout,141,0,0
1734216528869,150,POST /user,200,OK,User creates an order 1-2,text,true,,382,386,5,5,https://petstore.swagger.io/v2/user,150,0,0
1734216528678,591,POST /user,500,Server Error,User creates an order 1-5,text,false,,411,394,5,5,https://petstore.swagger.io/v2/user,591,0,436
1734216529296,142,GET /user/login,200,OK,User creates an order 1-4,text,true,,482,218,5,5,https://petstore.swagger.io/v2/user/login?username=llissandrini3&password=bR3.Gd%287XLPR%7CMy,142,0,0
1734216529374,149,GET /user/login,200,OK,User creates an order 1-1,text,true,,482,207,5,5,https://petstore.swagger.io/v2/user/login?username=lnanni4&password=vM4%27lceR1NEz,149,0,0
1734216531503,166,POST /store/order,200,OK,User creates an order 1-3,text,true,,453,313,5,5,https://petstore.swagger.io/v2/store/order,166,0,0
1734216531669,160,GET /user/logout,200,OK,User creates an order 1-3,text,true,,381,167,6,6,https://petstore.swagger.io/v2/user/logout,160,0,0
1734216531829,161,POST /user,200,OK,User creates an order 1-3,text,true,,382,417,6,6,https://petstore.swagger.io/v2/user,160,0,0
1734216532027,151,GET /user/login,200,OK,User creates an order 1-2,text,true,,482,212,6,6,https://petstore.swagger.io/v2/user/login?username=ejarrold6&password=zC5%40%2892naM0c9,151,0,0
1734216531677,607,POST /user,500,Server Error,User creates an order 1-6,text,false,,411,382,6,6,https://petstore.swagger.io/v2/user,607,0,459
1734216532274,155,GET /user/login,200,OK,User creates an order 1-5,text,true,,482,218,6,6,https://petstore.swagger.io/v2/user/login?username=dtomisch5&password=rG0%3E2%26%40%5C%3FDuZ5,155,0,0
1734216534441,157,POST /store/order,200,OK,User creates an order 1-4,text,true,,454,314,6,6,https://petstore.swagger.io/v2/store/order,157,0,0
1734216534533,157,POST /store/order,200,OK,User creates an order 1-1,text,true,,453,313,7,7,https://petstore.swagger.io/v2/store/order,157,0,0
1734216534599,139,GET /user/logout,200,OK,User creates an order 1-4,text,true,,381,167,7,7,https://petstore.swagger.io/v2/user/logout,138,0,0
1734216534691,149,GET /user/logout,200,OK,User creates an order 1-1,text,true,,381,167,7,7,https://petstore.swagger.io/v2/user/logout,149,0,0
1734216534738,149,POST /user,200,OK,User creates an order 1-4,text,true,,382,393,7,7,https://petstore.swagger.io/v2/user,148,0,0
1734216534841,147,POST /user,200,OK,User creates an order 1-1,text,true,,382,394,7,7,https://petstore.swagger.io/v2/user,147,0,0
1734216534993,161,GET /user/login,200,OK,User creates an order 1-3,text,true,,482,220,7,7,https://petstore.swagger.io/v2/user/login?username=lffrenchbeytagh8&password=sF0%21i7hU%24J94q_,159,0,0
1734216534680,607,POST /user,200,OK,User creates an order 1-7,text,true,,382,384,7,7,https://petstore.swagger.io/v2/user,607,0,457
1734216535287,142,GET /user/login,200,OK,User creates an order 1-6,text,true,,482,206,7,7,https://petstore.swagger.io/v2/user/login?username=nheath7&password=lV8%28sS%5Cxz,141,0,0
1734216537185,164,POST /store/order,200,OK,User creates an order 1-2,text,true,,452,312,7,7,https://petstore.swagger.io/v2/store/order,164,0,0
1734216537349,156,GET /user/logout,200,OK,User creates an order 1-2,text,true,,381,167,7,7,https://petstore.swagger.io/v2/user/logout,156,0,0
1734216537432,170,POST /store/order,200,OK,User creates an order 1-5,text,true,,454,314,7,7,https://petstore.swagger.io/v2/store/order,170,0,0
1734216537506,149,POST /user,200,OK,User creates an order 1-2,text,true,,382,382,7,7,https://petstore.swagger.io/v2/user,149,0,0
1734216537602,144,GET /user/logout,200,OK,User creates an order 1-5,text,true,,381,167,8,8,https://petstore.swagger.io/v2/user/logout,144,0,0
1734216537746,149,POST /user,200,OK,User creates an order 1-5,text,true,,382,391,8,8,https://petstore.swagger.io/v2/user,149,0,0
1734216537898,129,GET /user/login,200,OK,User creates an order 1-4,text,true,,482,209,8,8,https://petstore.swagger.io/v2/user/login?username=icathralla&password=rK1*eQmJ%262R,129,0,0
1734216537992,140,GET /user/login,200,OK,User creates an order 1-1,text,true,,482,220,8,8,https://petstore.swagger.io/v2/user/login?username=pgilleyb&password=yA2%27NMzDElZ%21%2FX%60%60,140,0,0
1734216537678,549,POST /user,200,OK,User creates an order 1-8,text,true,,382,397,8,8,https://petstore.swagger.io/v2/user,549,0,409
1734216538303,147,GET /user/login,200,OK,User creates an order 1-7,text,true,,482,198,8,8,https://petstore.swagger.io/v2/user/login?username=spurnell9&password=yM7,147,0,0
